,book_name,author,publication,publication_year,availability,pages,shipping_time,language,price,binding,cover,about_book,page_link,cluster
2258,A to Z Mysteries: The Vampire's Vacation,Ron Roy,Random House USA Inc,2004,Available,96,Same Day Dispatch,English,225,Paperback,https://cms.buybooksindia.com/uploads/books/9780375824791.jpg,"Help Dink, Josh, and Ruth Rose solve mysteries from A to Z in this chapter book that's perfect for Halloween! Kids love collecting the entire alphabet and super editions! With over 8 million copies in print, the A to Z MysteriesÂ® have been hooking chapter book readers on mysteries and reading for years. Now this classic kid favorite is back with a bright new look! V is for Vampire . . . Grab your garlic! When the kids follow a mysterious pale and dark-haired stranger into Ellieâ€™s Diner, he suddenly vanishes! Then they see a cut on Ellieâ€™s neck. Could it be a vampire bite? And will Dink, Josh, and Ruth Rose be his next victims?",https://www.buybooksindia.com/a-to-z-mysteries-the-vampire-s-vacation--9780375824791-71555.htm,low range
2259,A to Z Mysteries: The Unwilling Umpire,Ron Roy,Random House USA Inc,2004,Available,96,Same Day Dispatch,English,200,Paperback,https://cms.buybooksindia.com/uploads/books/9780375813702.jpg,"Help Dink, Josh, and Ruth Rose solve mysteries from A to Z! ; Kids love collecting the entire alphabet and super editions! With over 8 million copies in print, the A to Z MysteriesÂ® have been hooking chapter book readers on mysteries and reading for years. Now this classic kid favorite is back with a bright new look! ; U is for Umpire . . . Play ball! While the whole town of Green Lawn is watching the women take on the men in a charity baseball game, Mr. Pocketâ€™s prized baseball collection is stolen! The police suspect the umpire of foul play. Can Dink, Josh, and Ruth Rose prove his innocence . . . or will they strike out?",https://www.buybooksindia.com/a-to-z-mysteries-the-unwilling-umpire-9780375813702-71554.htm,low range
2260,A to Z Mysteries: The Panda Puzzle,Ron Roy,Random House USA Inc,2002,Available,96,Same Day Dispatch,English,225,Paperback,https://cms.buybooksindia.com/uploads/books/9780375802713.jpg,"Help Dink, Josh, and Ruth Rose solve mysteries from A to Z! Kids love collecting the entire alphabet and super editions! With over 8 million copies in print, the A to Z MysteriesÂ® have been hooking chapter book readers on mysteries and reading for years. Now this classic kid favorite is back with a bright new look! P is for Panda . . . Thereâ€™s panda-monium in Green Lawn! The town is building a new park for a panda and her baby. But soon, the baby is panda-napped for a million-dollar ransom. Can Dink, Josh, and Ruth Rose solve the puzzle before Green Lawn has to pay up?",https://www.buybooksindia.com/a-to-z-mysteries-the-panda-puzzle-9780375802713-71553.htm,low range
2261,Saraswati's Way,Monika Schroder,"Farrar, Straus & Giroux Inc",2011,Available,240,Same Day Dispatch,English,225,Hardcover,https://cms.buybooksindia.com/uploads/books/9780374364113.jpg,"If the gods wanted Akash to have an education, he is told, they would give him one. But Akash has spent his entire twelve years poor and hungry. So he decides to take control of his own life and try for a scholarship to the city school where he can pursue his beloved math. But will challenging destiny prove to be more than he has bargained for? In this raw and powerful novel, fate and self-determination come together in unexpected ways, offering an unsentimental look at the realities of India. Saraswati's Way is a 2011 Bank Street - Best Children's Book of the Year",https://www.buybooksindia.com/saraswati-s-way-9780374364113-71551.htm,low range
2262,Sunshine : All in One Book,Prints Publications Editorial Board,PRINTS PUBLICATIONS PVT LTD,2022,Available,62,Same Day Dispatch,English,172,Paperback,https://cms.buybooksindia.com/uploads/books/9789393674807_0_1652786555.jpeg,"Sunshine series of five books will aid in the development of your child’s motor skills and hand-eye coordination. In additional, the tracking exercise and creative activities will aid in the development of your young scholars’ early writing skills. It includes colouring books, dot-to-dot books, pencil control books, and more. Finally, it assists the youngster in preparing for formal education.
  The Key Features of this Series are:
Colourful Presentation
Offers Quality Learning Activities
Write and Revise the Numbers
Introduced: World of Art
Encourages Independent Learning
Exploring Shapes
Explore a Variety of Art processes",https://www.buybooksindia.com/sunshine-all-in-one-book-9789393674807-71534.htm,low range
2263,Fun n Frolic : Alphabet Writing,Prints Publications Editorial Board,PRINTS PUBLICATIONS PVT LTD,2022,Available,56,Same Day Dispatch,English,164,Paperback,https://cms.buybooksindia.com/uploads/books/9789393674272_0_1652785112.jpeg,"The Fun n Frolic collection of five books features attractive pictures and drawings that match the text, allowing your kid to quickly comprehend essential concepts and recognise everyday things, acquire vocabulary through picture-word association, and explore and learn about the world around them. through colourful visuals and activities, children learn important abilities such as Alphabets, Numbers, Hindi Varnmala, Painting, and Drawing in a fun way. This collection includes books that teach youngsters about early learning concepts.
The key features of this series are:
Colourful presentation
Beautiful illustrations
Build Vocabulary through picture – word association
Foster a high of reading
Tracing pattern along the dotted lines
Colouring numbers, missing numbers counting, and other fun activities.
Explore a variety of art processes
Develop visual and imaginative skills by exploring a variety of art processes",https://www.buybooksindia.com/fun-n-frolic-alphabet-writing-9789393674272-71531.htm,low range
2264,Fun n Frolic : NUMBER BOOK 1-100,Prints Publications Editorial Board,PRINTS PUBLICATIONS PVT LTD,2022,Available,76,Same Day Dispatch,English,185,Paperback,https://cms.buybooksindia.com/uploads/books/9789393674111_0_1652784403.jpeg,"The Fun n Frolic collection of five books features attractive pictures and drawings that match the text, allowing your kid to quickly comprehend essential concepts and recognise everyday things, acquire vocabulary through picture-word association, and explore and learn about the world around them. through colourful visuals and activities, children learn important abilities such as Alphabets, Numbers, Hindi Varnmala, Painting, and Drawing in a fun way. This collection includes books that teach youngsters about early learning concepts.
The key features of this series are:
Colourful presentation
Beautiful illustrations
Build Vocabulary through picture – word association
Foster a high of reading
Tracing pattern along the dotted lines
Colouring numbers, missing numbers counting, and other fun activities.
Explore a variety of art processes
Develop visual and imaginative skills by exploring a variety of art processes",https://www.buybooksindia.com/fun-n-frolic-number-book-1-100-9789393674111-71528.htm,low range
2265,Fun n Frolic : All in One Book,Prints Publications Editorial Board,PRINTS PUBLICATIONS PVT LTD,2022,Available,125,Same Day Dispatch,English,218,Paperback,https://cms.buybooksindia.com/uploads/books/9789393674395_0_1652781524.jpeg,"The Fun n Frolic collection of five books features attractive pictures and drawings that match the text, allowing your kid to quickly comprehend essential concepts and recognise everyday things, acquire vocabulary through picture-word association, and explore and learn about the world around them. through colourful visuals and activities, children learn important abilities such as Alphabets, Numbers, Hindi Varnmala, Painting, and Drawing in a fun way. This collection includes books that teach youngsters about early learning concepts.
The key features of this series are:
·         Colourful presentation
·         Beautiful illustrations
·         Build Vocabulary through picture – word association
·         Foster a high of reading
·         Tracing pattern along the dotted lines
·         Colouring numbers, missing numbers counting, and other fun activities.
·         Explore a variety of art processes
·         Develop visual and imaginative skills by exploring a variety of art processes",https://www.buybooksindia.com/fun-n-frolic-all-in-one-book--9789393674395-71525.htm,low range
2276,Twilight Tenth Anniversary/Life and Death Dual Edition,Stephenie Meyer,"Little, Brown Book Group",2015,Available,752,Same Day Dispatch,English,679,Hardcover,https://cms.buybooksindia.com/uploads/books/9780349002484.jpg,"Celebrate the tenth anniversary of Twilight! This special double-feature book includes the classic novel, Twilight, and a bold and surprising reimagining, Life and Death, by Stephenie Meyer. Packaged as a hardback 'flip book', this edition features nearly 400 pages of new content as well as exquisite new back cover art. Readers will relish experiencing the deeply romantic and extraordinarily suspenseful love story of Bella and Edward through fresh eyes. Twilight has enraptured millions of readers since its first publication in 2005 and has become a modern classic, redefining genres within young adult literature and inspiring a phenomenon that has had readers yearning for more. The novel was a Sunday Times and New York Times bestseller, a Time magazine Best Young Adult Book of All Time, an NPR Best-Ever Teen Novel, and a New York Times Editor's Choice. The Twilight Saga, which also includes New Moon, Eclipse, Breaking Dawn, The Short Second Life of Bree Tanner: An Eclipse Novella, and The Twilight Saga: The Official Illustrated Guide, has sold nearly 155 million copies worldwide",https://www.buybooksindia.com/twilight-tenth-anniversary-life-and-death-dual-edition-9780349002484-71423.htm,low range
2277,Ghoulfriends Forever: Ghoulfriends Forever Book 1,Gitty Daneshvari,Hachette Children's Books,2012,Available,272,Same Day Dispatch,English,382,Paperback,https://cms.buybooksindia.com/uploads/books/9780349001210.jpg,"As new students, the trio must navigate the bewildering array of cute monster boys, established cliques, and monster-rific subjects like Mad Science, G-ogre-phy, and Physical Deaducation. As if that weren't hard enough, something strange and sinister seems to be happening at the school. Popular girls like Frankie Stein and Cleo de Nile are acting weird-and all signs point to everyone's new favorite teacher, Miss Sylphia Flapper. Can the new GFFs expose the fave as a fraud, or will they succumb to peer pressure?",https://www.buybooksindia.com/ghoulfriends-forever-ghoulfriends-forever-book-1-9780349001210-71422.htm,low range
2278,Chosen: Number 3 in series,P. C. Cast,"Little, Brown Book Group",2012,Available,352,Same Day Dispatch,English,545,Paperback,https://cms.buybooksindia.com/uploads/books/9780349001142.jpg,"I guess it had gone okay with Stevie Rae. I mean, she had agreed to meet me tomorrow. And she hadn't tried to bite me, which was a plus. Of course, the whole trying-to-eat-the-street-person thing was highly disturbing . . ."" Zoey's best friend, Stevie Rae, is undead - in an eww! zombie! kind-of-way, not in a cool vampire kind-of-way. She's struggling to retain her humanity and Zoey doesn't have a clue how to help. But she does know that anything they discover must be kept secret. Trust has become a rare commodity. Sinister forces are at work at the House of Night, where the line between friend and enemy is becoming dangerously blurred",https://www.buybooksindia.com/chosen-number-3-in-series-9780349001142-71421.htm,low range
2279,The Yagyu Ninja Scrolls 4: Revenge of the Hori Clan,Masaki Segawa,Random House Inc,2008,Available,224,Same Day Dispatch,English,6672,Paperback,https://cms.buybooksindia.com/uploads/books/9780345501226.jpg,"BLOOD WEDDING In order to draw out the mysterious masked man, the Seven Spears begin to terrorize Edoâ€“targeting newlyweds on their wedding nights. To stop the violence, JyÃ»bei will have to pose as a groom and infiltrate the KatÃ´ mansion! Will he survive nuptial bliss? Includes in-depth translation notes and a preview of the next volume!",https://www.buybooksindia.com/the-yagyu-ninja-scrolls-4-revenge-of-the-hori-clan-9780345501226-71419.htm,high range
2280,Henderson's Boys: The Prisoner: Book 5,Robert Muchamore,Hodder Childrens Books,2012,Available,368,Same Day Dispatch,English,553,Paperback,https://cms.buybooksindia.com/uploads/books/9780340999172.jpg,"One of Henderson's best agents is being held captive in Frankfurt. A set of forged record cards could be his ticket to freedom, but might just as easily become his death warrant. A vital mission awaits him in France - if he can find a way to escape.",https://www.buybooksindia.com/henderson-s-boys-the-prisoner-book-5-9780340999172-71414.htm,low range
2281,Henderson's Boys: Grey Wolves: Book 4,Robert Muchamore,Hodder Childrens Books,2011,Available,464,Same Day Dispatch,English,351,Paperback,https://cms.buybooksindia.com/uploads/books/9780340999165.jpg,"German submarines are prowling the North Atlantic, sinking ships filled with the food, fuel and weapons that Britain needs to survive. With the Royal Navy losing the war at sea, six young agents must sneak into Nazi-occupied Europe and sabotage a submarine base on France's western coast. If the submarines aren't stopped, the British people will starve.",https://www.buybooksindia.com/henderson-s-boys-grey-wolves-book-4--9780340999165-71413.htm,low range
2282,Wibbly Pig Makes Pictures Board Book,Mick Inkpen,Hodder Childrens Books,2010,Available,14,Same Day Dispatch,English,403,Board Book,https://cms.buybooksindia.com/uploads/books/9780340997550.jpg,"Wibbly Pig discovers the magic of paint and draws all sorts of exciting pictures. What can you draw? This bestselling board book is perfect for toddlers everywhere. Mick Inkpen, creator of Kipper and many other prizewinning picture books, has brought to life a character who has won the hearts of millions of readers the world over",https://www.buybooksindia.com/wibbly-pig-makes-pictures-board-book-9780340997550-71411.htm,low range
2283,I Do Not Eat the Colour Green,Lynne Rickards,Hodder Childrens Books,2011,Available,32,Same Day Dispatch,English,273,Paperback,https://cms.buybooksindia.com/uploads/books/9780340988664.jpg,Marlene McKean loves all the colours of the rainbow except for one - she absolutely hates the colour green,https://www.buybooksindia.com/i-do-not-eat-the-colour-green-9780340988664-71407.htm,low range
2284,Pip and the Wood Witch Curse: Book 1,Chris Mould,Hodder Childrens Books,2011,Available,176,Same Day Dispatch,English,276,Paperback,https://cms.buybooksindia.com/uploads/books/9780340970690.jpg,"The great walled city of Hangman's Hollow is at war with the forest outside. Into this war, one dreadful winter's night, fate delivers a skinny, helpless boy. But maybe Pip isn't as helpless as he seems. Maybe he is the one who will defeat the wood witches and rescue the children of Hangman's Hollow",https://www.buybooksindia.com/pip-and-the-wood-witch-curse-book-1-9780340970690-71404.htm,low range
2285,Stowaway Slaves: Book 3,David Grimstone,Hachette Children's Books,2009,Available,112,Same Day Dispatch,English,214,Paperback,https://cms.buybooksindia.com/uploads/books/9780340970539.jpg,"Decimus Rex has escaped Arena Primus in the company of a fellow slave, Olu Umbika. Together, the pair has managed to do what no one else has ever done - flee the clutches of Slavious Doom. As expected, the overlord is furious and demands their immediate capture. A frantic and determined search follows. From the wild dogs running riot in the sewers, to the soldiers scouring the towns above, it seems only a matter of time before they are caught.",https://www.buybooksindia.com/stowaway-slaves-book-3-9780340970539-71403.htm,low range
2292,Brigands M.C.: Book 11,Robert Muchamore,Hodder Children's Books,2010,Available,448,Same Day Dispatch,English,311,Paperback,https://cms.buybooksindia.com/uploads/books/9780340956465.jpg,"The eleventh title in the number one bestselling CHERUB series! James discovers a love for high-speed motorcycle riding ... Every CHERUB agent comes from somewhere. Dante Scott still has nightmares about the death of his family, brutally murdered by a biker gang. Dante is given the chance to become a member of CHERUB, a trained professional with one essential advantage: adults never suspect that children are spying on them. But when Dante joins James and Lauren Adams on a mission to infiltrate Brigands Motorcycle Club, he's ready to use everything he's learned to get revenge on the people who killed his family ... For official purposes, these children do not exist",https://www.buybooksindia.com/brigands-m-c-book-11-9780340956465-71361.htm,low range
2294,Charles With Chameleon,BPI,BPI India,2015,Available,17,Same Day Dispatch,English,60,Paperback,https://cms.buybooksindia.com/uploads/books/9798186982388.jpg,Book description is not available,https://www.buybooksindia.com/charles-with-chameleon-9798186982388-71282.htm,low range
2302,The Blue Jackal,BPI India,S.Chand,2015,Available,16,Same Day Dispatch,English,60,Paperback,https://cms.buybooksindia.com/uploads/books/9798176933390.jpg,"Reading stories is a favourite pastime for young children who love to get acquainted with interesting characters and travel to strange, unknown lands with them. Here is a collection of several series of storybooks, each available in attractive packs and at special prices. The easy-to-carry packs are wonderful gifts for children. The storybooks contain stories that are written in easy and simple language and illustrated with bright colourful pictures to bring the characters alive",https://www.buybooksindia.com/the-blue-jackal-9798176933390-71202.htm,low range
2305,MAD - Art & Craft Book 5,BPI India,BPI India,2006,Available,23,Same Day Dispatch,English,60,Paperback,https://cms.buybooksindia.com/uploads/books/9798176933291.jpg,Book description is not available,https://www.buybooksindia.com/mad-art-craft-book-5-9798176933291-71199.htm,low range
2306,Mad Art AND Craft Book 4,BPI India,BPI India,2006,Available,23,Same Day Dispatch,English,60,Paperback,https://cms.buybooksindia.com/uploads/books/9798176933284.jpg,Book description is not available,https://www.buybooksindia.com/mad-art-and-craft-book-4-9798176933284-71198.htm,low range
2316,The Little Stork Catches a Fish,BPI India,BPI India,2008,Available,16,Same Day Dispatch,English,189,Paperback,https://cms.buybooksindia.com/uploads/books/9798176932393.jpg,Book description is not available,https://www.buybooksindia.com/the-little-stork-catches-a-fish-9798176932393-71188.htm,low range
2317,The Little Rabbit Learns to Climb,BPI India,BPI India,2008,Available,16,Same Day Dispatch,English,189,Paperback,https://cms.buybooksindia.com/uploads/books/9798176932386.jpg,Book description is not available,https://www.buybooksindia.com/the-little-rabbit-learns-to-climb-9798176932386-71187.htm,low range
2318,The Flowers,BPI India,BPI India,2008,Available,16,Same Day Dispatch,English,189,Paperback,https://cms.buybooksindia.com/uploads/books/9798176932379.jpg,Book description is not available,https://www.buybooksindia.com/the-flowers-9798176932379-71186.htm,low range
2319,The Lucky Lamb,Lucy DanielsÂ ,Hodder Childrens Books,2007,Available,64,Same Day Dispatch,English,436,Paperback,https://cms.buybooksindia.com/uploads/books/9780340932568.jpg,"It's too cold outside for Woolly, the first newborn lamb of the season. But when he's inside, Woolly gets into all sorts of trouble. Then Mandy has a brilliant idea to bring Woolly and his mum back together again . . .",https://www.buybooksindia.com/the-lucky-lamb-9780340932568-71151.htm,low range
2320,The Sleepwalker,Â Robert Muchamore,Hodder Childrens Books,2008,Available,336,Same Day Dispatch,English,359,Paperback,https://cms.buybooksindia.com/uploads/books/9780340931837.jpg,"The ninth title in the number one bestselling CHERUB series! James is getting into trouble on campus, while Lauren has an air crash to investigate ...An airliner explodes over the Atlantic leaving 345 people dead. Crash investigators suspect terrorism, but they're getting nowhere. A distressed twelve-year-old calls a police hotline and blames his father for the explosion. It could be a breakthrough, but there's no hard evidence and the boy has a history of violence and emotional problems.",https://www.buybooksindia.com/the-sleepwalker-9780340931837-71150.htm,low range
2321,The Three Wishes,Â David MellingÂ ,Hodder Childrens Books,2008,Available,32,Same Day Dispatch,English,449,Paperback,https://cms.buybooksindia.com/uploads/books/9780340931530.jpg,"The loveable duo from The Kiss That Missed are back in a third adventure!.. The hapless knight and his faithful horse are left to babysit the prince and princess. But babysitting is a lot harder than they think. Add to the mix - a bag of spells, a little magic and three wishes - and it's going to be a long night.",https://www.buybooksindia.com/the-three-wishes-9780340931530-71149.htm,low range
2322,Chick Challenge,Â Lucy Daniels,Hodder Childrens Books,1997,Available,128,Same Day Dispatch,English,445,Paperback,https://cms.buybooksindia.com/uploads/books/9780340917879.jpg,"Mandy loves animals and knows lots about them too! Both her parents are vets so Mandy is always able to help her friends with their pet problems. New girl Libby is not very happy. Her pet hen, Ronda misses her while she's out all day at school, and now Ronda's stopped eating. Mandy comes up with a plan to cheer them both up and a new family of chicks should do the trick!",https://www.buybooksindia.com/chick-challenge-9780340917879-71146.htm,low range
2323,The Naughtiest Girl Wants To Win,Anne Digby,Hodder Childrens Books,2008,Available,176,Same Day Dispatch,English,597,Paperback,https://cms.buybooksindia.com/uploads/books/9780340917770.jpg,"In book nine, Elizabeth is furious when Kerry, new girl and young actress, becomes head girl over the obvious choice, her friend Emma. Elizabeth is convinced that all the seniors have been swayed by Kerry's acting skills. How will Elizabeth prove that the real Kerry is a nasty piece of work without looking like the troublemaker herself?",https://www.buybooksindia.com/the-naughtiest-girl-wants-to-win-9780340917770-71145.htm,low range
2324,The Cuttlefish Loses His Life,BPI,BPI India,2016,Available,16,Same Day Dispatch,English,168,Paperback,https://cms.buybooksindia.com/uploads/books/9798176932355.jpg,"About the Book: The Cuttlefish Loses His Life 'Moral Stories' is a collection of wonderful stories for children that entertain and educate. Using animals as central characters, the stories teach the principles of right conduct and help children distinguish between good and bad. Beautiful illustrations, large print and flowing narration make the stories thoroughly enjoyable for children. Moral stories that not only entertain the children but also educate them about the virtues of life",https://www.buybooksindia.com/the-cuttlefish-loses-his-life-9798176932355-71144.htm,low range
2325,The Clever Rat,BPI,Readworthy Publications,2008,Available,16,Same Day Dispatch,English,168,Paperback,https://cms.buybooksindia.com/uploads/books/9798176932348.jpg,Book description is not available,https://www.buybooksindia.com/the-clever-rat-9798176932348-71143.htm,low range
2326,The Archer Fish and His Special Skill,BPI,BPI India,2008,Available,16,Same Day Dispatch,English,178,Paperback,https://cms.buybooksindia.com/uploads/books/9798176932331.jpg,"The Archer Fish and His Special Skill 'Moral Stories' is a collection of wonderful stories for children that entertain and educate. Using animals as central characters, the stories teach the principles of right conduct and help children distinguish between good and bad. Beautiful illustrations, large print and flowing narration make the stories thoroughly enjoyable for children. Moral stories that not only entertain the children but also educate them about the virtues of life.",https://www.buybooksindia.com/the-archer-fish-and-his-special-skill-9798176932331-71142.htm,low range
2329,Thangam The Turtle,BPI,BPI India,2015,Available,17,Same Day Dispatch,English,60,Paperback,https://cms.buybooksindia.com/uploads/books/9798176930795.jpg,Book description is not available,https://www.buybooksindia.com/thangam-the-turtle-9798176930795-71139.htm,low range
2330,Prakash The Peacock,N/a,BPI India,2007,Available,16,Same Day Dispatch,English,70,Paperback,https://cms.buybooksindia.com/uploads/books/9798176930771.jpg,Book description is not available,https://www.buybooksindia.com/prakash-the-peacock-9798176930771-71138.htm,low range
2331,Balyan The Baby Bat,BPI,BPI India,2007,Available,17,Same Day Dispatch,English,60,Paperback,https://cms.buybooksindia.com/uploads/books/9798176930030.jpg,Book description is not available,https://www.buybooksindia.com/balyan-the-baby-bat-9798176930030-71137.htm,low range
2333,Activity Book- Level 6 Special Combinations,Jessie Kodish,SHETH PUBLISHING HOUSE,2007,Available,32,Same Day Dispatch,English,75,Paperback,https://cms.buybooksindia.com/uploads/books/9789833894116.jpg,the activity book will guide the children's progress and prepare them for success in early reading.,https://www.buybooksindia.com/activity-book-level-6-special-combinations-9789833894116-71111.htm,low range
2336,Ali Baba and The Forty Thieves Level 4,Kolektif,Kohwai & Young Publications,2006,Available,45,Same Day Dispatch,English,108,Hardcover,https://cms.buybooksindia.com/uploads/books/9789833664931.jpg,Book description is not available,https://www.buybooksindia.com/ali-baba-and-the-forty-thieves-level-4-9789833664931-71108.htm,low range
2351,CHERUB: The Fall,Robert Muchamore,Hodder Childrens Books,2007,Available,352,Same Day Dispatch,English,359,Paperback,https://cms.buybooksindia.com/uploads/books/9780340911709.jpg,"The sixth title in the number one bestselling CHERUB series! James uncovers corruption where he least suspects it ...When an MI5 operation goes disastrously wrong, James Adams needs all of his skills to get out of Russia alive. Meanwhile, his sister Lauren is on her first solo mission, trying to uncover a brutal human trafficking operation.",https://www.buybooksindia.com/cherub-the-fall-9780340911709-70941.htm,low range
2352,The Naughtiest Girl Again,Enid Blyton,Hachette India,2005,Available,256,Same Day Dispatch,English,224,Paperback,https://cms.buybooksindia.com/uploads/books/9780340910986.jpg,Book Description not available,https://www.buybooksindia.com/the-naughtiest-girl-again-9780340910986-70940.htm,low range
2353,Mixed Up Fairy Tales,Hilary Robinson,Hodder Childrens Books,2005,Available,32,Same Day Dispatch,English,776,Spiral Bound,https://cms.buybooksindia.com/uploads/books/9780340875582.jpg,"This fantastic split page, spiral bound book allows the reader to mix and match different combinations of fairy tales with hilarious results. What would happen if Goldilocks had two horrid stepsisters and fell asleep for a hundred years? Would she be woken by a hungry wolf or Little Red Riding Hood's Granny?",https://www.buybooksindia.com/mixed-up-fairy-tales-9780340875582-70935.htm,low range
2354,The Utterly Otterleys,Mairi Hedderwick,Hodder Childrens Books,2006,Available,32,Same Day Dispatch,English,2035,Paperback,https://cms.buybooksindia.com/uploads/books/9780340873694.jpg,The Utterly Otterley family live in a cosy burrow near the river where everything is just about perfect. Until Pa Utterly Otterley wakes up one morning and decides it's time to find a new home.,https://www.buybooksindia.com/the-utterly-otterleys-9780340873694-70934.htm,mid range
2355,"New Worlds for Old, Britain 1750-1900",Neil Demarco,HODDER EDUCATION,2000,Available,80,Same Day Dispatch,English,1533,Paperback,https://cms.buybooksindia.com/uploads/books/9780340747490.jpg,"This is an exciting Key Stage 3 resource for teaching and learning about the issues and events that characterize the birth and development of industrial Britain. Including the country's relations with Europe and its growing Empire. The title never lets go of the period's story, providing opportunities to examine the big picture and investigate particular topics. Did you know that Napoleon might have been poisoned by his wallpaper; that slaves who refused to eat had their teeth broken and food forced into their mouths; that during the Indian Mutiny the British executed prisoners by tying them to the front of their cannons; or that one reason why the Titanic sank was because the sea was so calm?",https://www.buybooksindia.com/new-worlds-for-old-britain-1750-1900-9780340747490-70911.htm,mid range
2356,Famous Five : 17 Five Get Into A Fix,ENID BLYTONÂ ,Hachette Children's Books,2012,Available,208,Same Day Dispatch,English,269,Paperback,https://cms.buybooksindia.com/uploads/books/9780340681220.jpg,"Meet Julian, Dick, Anne, George and Timothy. Together they are THE FAMOUS FIVE - Enid Blyton's most popular adventure series.. In book seventeen, the Famous Five are skiing and having lots of fun. But who is living in the mysterious house near their chalet? The caretaker claims it's been deserted for years, but the Five are sure they've seen a face at the window. A terrified, and haunted face.",https://www.buybooksindia.com/famous-five-17-five-get-into-a-fix-9780340681220-70908.htm,low range
2357,Make Your Own Fun,Josie Curran,Pan Macmillan,2012,Available,256,Same Day Dispatch,English,359,Paperback,https://cms.buybooksindia.com/uploads/books/9780330544689.jpg,"As well as many childhood favourites, such as SQUEAK PIGGY SQUEAK, WINK MURDER and SLEEPING LIONS, inside this book you'll also discover tons of exciting new ways to entertain children, including CHEESY PUFF SCULPTURES, BEACH MONSTERS and TRUSSED-UP TURKEYS. You'll also find a host of creative make-and-do ideas, such as EGG-CARTON MONSTERS and COBWEB PICTURES, and, of course, inspiration for how to throw the best children's party ever!",https://www.buybooksindia.com/make-your-own-fun-9780330544689-70904.htm,low range
2358,The Search,Lies Schippers,Pan Macmillan,2011,Available,64,Same Day Dispatch,English,750,Paperback,https://cms.buybooksindia.com/uploads/books/9780330519762.jpg,The Search showcases World War II and the Holocaust as a time when defining good and evil and right and wrong is a constant struggle and when every decision is an attempt to choose between the lesser of two evils. As the story unfolds the protagonists find that not everything is as black and white as they had expected.,https://www.buybooksindia.com/the-search--9780330519762-70892.htm,low range
2359,"I'm 8 and I've Burped 40,908 Times",Mitchell Symons,Pan Macmillan,2011,Available,144,Same Day Dispatch,English,808,Paperback,https://cms.buybooksindia.com/uploads/books/9780330517683.jpg,This is a brilliant book packed with amazing facts and terrific trivia about things that kids have done when they are eight from writing novels and symphonies to climbing mountains and recording hit records.,https://www.buybooksindia.com/i-m-8-and-i-ve-burped-40-908-times--9780330517683-70879.htm,low range
2360,Battles and Quests,Anthony HorowitzÂ ,Pan Macmillan,2010,Available,144,Same Day Dispatch,English,539,Paperback,https://cms.buybooksindia.com/uploads/books/9780330510165.jpg,"A collection of five bite-size myths from across the globe,Â Battles and QuestsÂ by bestselling author Anthony Horowitz is a heartstopping retelling of some of the greatest stories ever told. Part of the Legends series of six books, Battles and Quests features the epic tales of heroes ranging from the ancient Greek myth of Theseus and the Minotaur to the Bororo Indian tale of Geriguiaguiatugo.",https://www.buybooksindia.com/battles-and-quests--9780330510165-70872.htm,low range
2361,The Midnight Gate,Helen Stringer,Pan Macmillan,2011,Available,352,Same Day Dispatch,English,269,Paperback,https://cms.buybooksindia.com/uploads/books/9780330509008.jpg,"Belladonna Johnson has got used to having parents who are ghosts, and most of the time they're just like other parents. The only problem is, no one can see them but her. When someone catches her having a conversation with thin air, Belladonna is carted off to a foster family. But all is not as it seems - there's something very weird about her new guardians, and something even weirder about their house. Soon Belladonna and her friend Steve are forced to go on another mission to the shadowy underworld - facing more than one bloodthirsty mythical beast along the way",https://www.buybooksindia.com/the-midnight-gate-9780330509008-70871.htm,low range
2362,Lottie Biggs is (Not) Desperate,Hayley Long,Pan Macmillan,2010,Available,256,Same Day Dispatch,English,274,Paperback,https://cms.buybooksindia.com/uploads/books/9780330479752.jpg,"Lottie Biggs is recovering from her mental disorder of a reasonably significant nature with the help of her counsellor, who rather helpfully looks like Johnny Depp. Things are looking up - her hair is an excellent shade of black, she has a Saturday job in a hairdresser and Gareth Stingecombe and his manly thighs are still the love of her life. When Gareth undoes his trousers to show Lottie a fetching bruise on one of the aforementioned thighs, she comes to the realisation that, unlike everyone else she knows, she is A TOTAL UTTER VIRGIN. But how can she get any sort of experience when her boyfriend is doggedly, stubbornly and infuriatingly determined to preserve his energies for the rugby field?",https://www.buybooksindia.com/lottie-biggs-is-not-desperate-9780330479752-70863.htm,low range
2363,Philip Ardagh's Book of Kings Queens Emperors,Philip ArdaghÂ ,Pan Macmillan,2011,Available,384,Same Day Dispatch,English,719,Hardcover,https://cms.buybooksindia.com/uploads/books/9780330471732.jpg,"Pssst! Do you know the story about Queen Elizabeth I (1533-1603) and the -- er -- farting courtier? One day, when bowing low to Her Majesty, the Earl of Oxford couldn't help but break wind. The poor man felt SO embarrassed, that he left the court -- and some say the country -- for SEVEN years. Upon his return, after such a long absence, the first thing Good Queen Bess said on seeing him was, ""Lord, I had forgot the fart!""",https://www.buybooksindia.com/philip-ardagh-s-book-of-kings-queens-emperors--9780330471732-70861.htm,low range
